OFFER,RETAILER_mapped,BRAND,PRODUCT_CATEGORY
"Reese's Chocolate Cones, 8 count at GIANT OR MARTIN’S",MARTINS FOODS,Frozen Desserts,
Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
Shop 2 times at Star Market,STAR MARKET,Cooking & Baking,
"Hidden Valley® Ranch Seasoning, select varieties",,Cooking & Baking,
"Hidden Valley® Ranch Seasoning, select varieties",,Dips & Salsa,
"Hidden Valley® Ranch Seasoning, select varieties",,Sauces & Marinades,
"General Mills™ products, select varieties, spend $12",,Packaged Vegetables,
"General Mills™ products, select varieties, spend $12",,Refrigerated Doughs,
"General Mills™ products, select varieties, spend $12",,Frozen Pizza & Pizza Snacks,
"General Mills™ products, select varieties, spend $12",,Bread,
"General Mills™ products, select varieties, spend $12",,Frozen Breakfast,
"General Mills™ products, select varieties, spend $12",,Chips,
"General Mills™ products, select varieties, spend $12",,Cookies,
"General Mills™ products, select varieties, spend $12",,"Cereal, Granola, & Toaster Pastries",
"General Mills™ products, select varieties, spend $12",,Soup & Broth,
"General Mills™ products, select varieties, spend $12",,Dressings,
"General Mills™ products, select varieties, spend $12",,Fruit & Vegetable Snacks,
"General Mills™ products, select varieties, spend $12",,Crackers,
"General Mills™ products, select varieties, spend $12",,Frozen Meals,
"General Mills™ products, select varieties, spend $12",,Cheese,
"General Mills™ products, select varieties, spend $12",,Cooking & Baking,
Blue Apron Meal Kits,BLUE APRON,Cooking & Baking,
"Aleve® products, select varieties, 80 count+ at Walmart",WALMART,Medicines & Treatments,
"Welch's® Juicefuls® Juicy Fruit Snacks, 14 count, at Target",TARGET,Fruit & Vegetable Snacks,
"Welch's® Fruit Snacks, select varieties, 6 count+, buy 2",,Fruit & Vegetable Snacks,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Cheese,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Dips & Salsa,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Cooking & Baking,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Pickled Goods,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Chips,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Leafy Salads,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Cookies,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Bakery,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Frozen Turkey,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Sauces & Marinades,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Coffee,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Soup & Broth,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Frozen Meals,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Fruit Juices,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Prepared Meals,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Frozen Chicken,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Pasta & Noodles,Dry Pasta
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Pasta & Noodles,Fresh Pasta
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Fruit & Vegetable Snacks,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Carbonated Soft Drinks,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Bread,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Packaged Meals & Sides,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Wine,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Tea,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Packaged Fruit & Applesauce,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Candy,Gum
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Milk,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Water,
"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,Dressings,
"Arbos Cheese Dip, 12 ounce, buy at Central Market",CENTRAL MARKET,,
L'Oréal Paris Excellence Hair Color at Target,TARGET,Hair Care,
"Kradle, select varieties, spend $20 at Walmart",WALMART,Cooking & Baking,
"Kradle, select varieties, spend $20 at Walmart",WALMART,Dog Supplies,
Frozen OR Fountain Drink at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Frozen OR Fountain Drink at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
"Arnold, Brownberry, Oroweat® Keto bread, buy 2",,Bread,
"Arnold, Brownberry, Oroweat® Keto bread, buy 2",,Prepared Meals,
"Arnold, Brownberry, Oroweat® Keto bread, buy 2",,Bakery,
Shop 2 times at Shaw's,SHAWS,Cooking & Baking,
"Welch's®Fruit Snacks, spend $8",,Fruit & Vegetable Snacks,
"Children's Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,Medicines & Treatments,
Spend $10 in-store at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Spend $10 in-store at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
"Fresh bakery item, select varieties, at Casey's",CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
"Fresh bakery item, select varieties, at Casey's",CASEYS GENERAL STORE,Cooking & Baking,
"SNICKERS® chocolate candy bar, select varieties",,Candy,Gum
Rao's® Frozen Pizza,,Frozen Meals,
Rao's® Frozen Pizza,,Pasta & Noodles,Dry Pasta
Rao's® Frozen Pizza,,Pasta & Noodles,Fresh Pasta
Rao's® Frozen Pizza,,Dry Pasta,
Rao's® Frozen Pizza,,Red Pasta Sauce,
Rao's® Frozen Pizza,,Sauces & Marinades,
Rao's® Frozen Pizza,,Alfredo & White Pasta Sauce,
Rao's® Frozen Pizza,,Frozen Pizza & Pizza Snacks,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,Medicines & Treatments,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,Medicines & Treatments,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,Meal Replacement Beverages,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,Meal Replacement Beverages,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,Sports Drinks,
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,Sports Drinks,
"Bimbo® sweet baked goods, buy 2",,Bread,
"Bimbo® sweet baked goods, buy 2",,Cookies,
"Bimbo® sweet baked goods, buy 2",,Bakery,
"Bimbo® sweet baked goods, buy 2",,Snack Cakes,
Any Shaw's receipt,SHAWS,Cooking & Baking,
"Gorton's, at select retailers",STOP & SHOP,Jerky & Dried Meat,
"Gorton's, at select retailers",SHOP RITE,Jerky & Dried Meat,
"Gorton's, at select retailers",STOP & SHOP,Frozen Seafood,
"Gorton's, at select retailers",SHOP RITE,Frozen Seafood,
"Gorton's, at select retailers",STOP & SHOP,Frozen Meals,
"Gorton's, at select retailers",SHOP RITE,Frozen Meals,
"Butterball, select varieties, spend $10 at Food 4 Less",FOOD4LESS,Frozen Turkey,
"Butterball, select varieties, spend $10 at Food 4 Less",FOOD4LESS,Nut Butters & Jam,
NatuChips® Plantain Chips,,Chips,
"Beech-Nut pouches, buy 8",,Nuts & Seeds,
"Beech-Nut pouches, buy 8",,Crackers,
"Beech-Nut pouches, buy 8",,Fruit & Vegetable Snacks,
"Beech-Nut pouches, buy 8",,Cookies,
Spend $45 at Zaxby's,ZAXBYS,,
"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",TARGET,Packaged Meals & Sides,
"Ben & Jerry's®, select varieties, spend $12",,Frozen Desserts,
Any ACME receipt,ACME,Medicines & Treatments,
Spend $220 at Tom Thumb,TOM THUMB,,
"Promised Land Dairy Milk, 52-ounce",,Milk,
"Welch's® Fruit 'n Yogurt® Snacks, 18 count, at Walmart",WALMART,Fruit & Vegetable Snacks,
Hidden Valley® Ranch Seasoning Shaker,,Cooking & Baking,
Hidden Valley® Ranch Seasoning Shaker,,Dips & Salsa,
Hidden Valley® Ranch Seasoning Shaker,,Sauces & Marinades,
"CORE® Hydration, select varieties, at Walmart",WALMART,Water,
When you join Costco as a Gold Star Member* (New Members Only),COSTCO,,
Whole pizza at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Whole pizza at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
Spend $40 at Farmer Boys,FARMER BOYS,,
"Colgate® Toothpaste AND Colgate® Toothbrush, select varieties at Walmart or Target",TARGET,Oral Care,Toothpaste
"L'Oréal Paris Hair color, select varieties, spend $25 at Target",TARGET,Hair Care,
"TWIX®, select varieties",,Candy,Gum
"TWIX®, select varieties",,Cookies,
Spend $15 at KFC,KFC,,
Spend $275 at Vons,VONS,Spirits,Vodka
Spend $275 at Vons,VONS,Spirits,Rum
"EXTRA®, select varieties",,Gum,
"Ben & Jerry's® Doggie Desserts, 4 ounce, buy 2",,Frozen Desserts,
"Klondike Cones, spend $10 at Walmart ",WALMART,Frozen Meals,
"Klondike Cones, spend $10 at Walmart ",WALMART,Frozen Desserts,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",MARTINS FOODS,Dips & Salsa,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",THE GIANT CO,Dips & Salsa,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",MARTINS FOODS,Frozen Desserts,
"Reese's Peanut Butter Bar, 6 count, at GIANT OR MARTIN’S",THE GIANT CO,Frozen Desserts,
"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,Plant-Based Meat,
"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,Packaged Meat,
"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,Frozen Plant-Based Meat,
"Kradle, select products, online at Chewy.com",CHEWY,Cooking & Baking,
"Kradle, select products, online at Chewy.com",CHEWY,Dog Supplies,
Spend $120 at Star Market,STAR MARKET,Cooking & Baking,
Shop 2 times at Vons,VONS,Spirits,Vodka
Shop 2 times at Vons,VONS,Spirits,Rum
Wonderworks™ Keto* Friendly Cereal,,"Cereal, Granola, & Toaster Pastries",
"MTN DEW® Kickstart, 16-ounce 12 count, select varieties, at Amazon Storefront*",AMAZON,Carbonated Soft Drinks,
When you join Costco as an Executive Member* (New Members Only),COSTCO,,
"Adult Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,Medicines & Treatments,
Shop 2 times at Pavilions,PAVILIONS,Cooking & Baking,
"SKITTLES®, select varieties",,Candy,Gum
"SKITTLES®, select varieties",,Fruit Juices,
"Stubborn Soda OR Bundaberg Ginger Beer, select varieties, at Amazon Storefront*",AMAZON,Carbonated Soft Drinks,
"BallPark® buns, buy 2",,Bakery,
"BallPark® buns, buy 2",,Bread,
12 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
12 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
Spend $220 at Star Market,STAR MARKET,Cooking & Baking,
Frozen OR Fountain Drink at Casey's ,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Frozen OR Fountain Drink at Casey's ,CASEYS GENERAL STORE,Cooking & Baking,
Spend $45 at TGI Friday's,TGI FRIDAYS,Spirits,Vodka
Spend $45 at TGI Friday's,TGI FRIDAYS,Spirits,Rum
Spend $45 at TGI Friday's,TGI FRIDAYS,Malt Beverages,
Visit OR order online from Casey's 3 times,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Visit OR order online from Casey's 3 times,CASEYS GENERAL STORE,Cooking & Baking,
Spend $210 at Randalls,RANDALLS,,
Spend $210 at Randalls,RANDALLS FOOD MARKETS,,
Visit OR order online from Casey's 5 times,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Visit OR order online from Casey's 5 times,CASEYS GENERAL STORE,Cooking & Baking,
Any Tom Thumb receipt,TOM THUMB,,
"Butterball, select varieties, spend $10 at Fry's Food Store",FRYS FOOD STORE,Frozen Turkey,
"Butterball, select varieties, spend $10 at Fry's Food Store",FRYS FOOD STORE,Nut Butters & Jam,
"ORBIT®, select sizes, buy 1",,Gum,
12 pack OR 2 liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
12 pack OR 2 liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
"Molson Coors®, select varieties, 12 Pack+, buy 2",,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Thomas'®, select varieties, spend $10",,Bakery,
"Thomas'®, select varieties, spend $10",,Frozen Breakfast,
"Thomas'®, select varieties, spend $10",,Bread,
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,Plant-Based Meat,
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,Packaged Meat,
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,Frozen Plant-Based Meat,
Whole Pizza at Casey's ,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Whole Pizza at Casey's ,CASEYS GENERAL STORE,Cooking & Baking,
"EXTRA®, select sizes",,Gum,
Gorton's at select retailers,STOP & SHOP,Jerky & Dried Meat,
Gorton's at select retailers,WALMART,Jerky & Dried Meat,
Gorton's at select retailers,STOP & SHOP,Frozen Seafood,
Gorton's at select retailers,WALMART,Frozen Seafood,
Gorton's at select retailers,STOP & SHOP,Frozen Meals,
Gorton's at select retailers,WALMART,Frozen Meals,
Brita® Standard OR Elite Filters,,Water,
Brita® Standard OR Elite Filters,,Household Supplies,Laundry Supplies
Brita® Standard OR Elite Filters,,Household Supplies,Household Cleaning Supplies
Brita® Standard OR Elite Filters,,Household Supplies,Food Storage
Brita® Standard OR Elite Filters,,Household Supplies,Household Supplies
Brita® Standard OR Elite Filters,,Household Supplies,Pest Control
Spend $300 at Shaws,SHAWS,Cooking & Baking,
Spend $50 at Fresh Thyme Market,FRESH THYME MARKET,,
"Starry™ Lemon Lime Soda multipacks, at Kroger",DILLONS GROCERY,Carbonated Soft Drinks,
"Barilla® pasta, select varieties, buy 3",,Pesto Sauce,
"Barilla® pasta, select varieties, buy 3",,Chips,
"Barilla® pasta, select varieties, buy 3",,Red Pasta Sauce,
"Barilla® pasta, select varieties, buy 3",,Dry Pasta,
"Fresh Bakery Products at Casey's, select varieties",CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
"Fresh Bakery Products at Casey's, select varieties",CASEYS GENERAL STORE,Cooking & Baking,
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 2",,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 2",,Malt Beverages,
"Kradle, select varieties, online at Amazon",AMAZON,Cooking & Baking,
"Kradle, select varieties, online at Amazon",AMAZON,Dog Supplies,
"Starry™ Lemon Lime Soda, 7.5-ounce 10 pack, at Amazon Storefront*",AMAZON,Carbonated Soft Drinks,
"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",WHOLE FOODS MARKET,Frozen Turkey,
"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",WHOLE FOODS MARKET,Carbonated Soft Drinks,
"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",WHOLE FOODS MARKET,Meal Replacement Beverages,
"Burt's Bee's® Facial Wipes, select varieties, 30 count at Walmart",WALMART,Skin Care,
"Burt's Bee's® Facial Wipes, select varieties, 30 count at Walmart",WALMART,Makeup,
"Burt's Bee's® Facial Wipes, select varieties, 30 count at Walmart",WALMART,Hair Removal,
"Aleve® products AND AleveX™, select varieties, at Walmart",WALMART,Medicines & Treatments,
"Beyond Meat® Plant-Based products, spend $15",,Plant-Based Meat,
"Beyond Meat® Plant-Based products, spend $15",,Packaged Meat,
"Beyond Meat® Plant-Based products, spend $15",,Frozen Plant-Based Meat,
"GOYA® Adobo Seasoning, 8 ounce+",,Packaged Meat,
"GOYA® Adobo Seasoning, 8 ounce+",,Dry Pasta,
"GOYA® Adobo Seasoning, 8 ounce+",,Bread,
"GOYA® Adobo Seasoning, 8 ounce+",,Dips & Salsa,
"GOYA® Adobo Seasoning, 8 ounce+",,Cooking & Baking,
"GOYA® Adobo Seasoning, 8 ounce+",,Pasta & Noodles,Dry Pasta
"GOYA® Adobo Seasoning, 8 ounce+",,Pasta & Noodles,Fresh Pasta
"GOYA® Adobo Seasoning, 8 ounce+",,Deli Counter,
"GOYA® Adobo Seasoning, 8 ounce+",,Soup & Broth,
"GOYA® Adobo Seasoning, 8 ounce+",,Packaged Vegetables,
"GOYA® Adobo Seasoning, 8 ounce+",,Rice & Grains,
"GOYA® Adobo Seasoning, 8 ounce+",,Crackers,
"GOYA® Adobo Seasoning, 8 ounce+",,Nut Butters & Jam,
"GOYA® Adobo Seasoning, 8 ounce+",,Fruit Juices,
"GOYA® Adobo Seasoning, 8 ounce+",,Frozen Vegetables,
"GOYA® Adobo Seasoning, 8 ounce+",,Packaged Seafood,
"GOYA® Adobo Seasoning, 8 ounce+",,Cookies,
"GOYA® Adobo Seasoning, 8 ounce+",,Frozen Seafood,
"GOYA® Adobo Seasoning, 8 ounce+",,Frozen Fruits,
"GOYA® Adobo Seasoning, 8 ounce+",,Frozen Meals,
"GOYA® Adobo Seasoning, 8 ounce+",,Water,
"GOYA® Adobo Seasoning, 8 ounce+",,Drink Mixes,
"GOYA® Adobo Seasoning, 8 ounce+",,Milk,
"GOYA® Adobo Seasoning, 8 ounce+",,Pudding & Gelatin,
"GOYA® Adobo Seasoning, 8 ounce+",,Frozen Chicken,
"GOYA® Adobo Seasoning, 8 ounce+",,Frozen Appetizers,
"GOYA® Adobo Seasoning, 8 ounce+",,Sauces & Marinades,
"GOYA® Adobo Seasoning, 8 ounce+",,Malt Beverages,
"GOYA® Adobo Seasoning, 8 ounce+",,Pickled Goods,
"GOYA® Adobo Seasoning, 8 ounce+",,Carbonated Soft Drinks,
"Tyson Products, select varieties, spend $15 at Walmart",WALMART,Packaged Meat,
Spend $210 at Safeway,SAFEWAY,Candy,Gum
Klondike Cones at Walmart ,WALMART,Frozen Meals,
Klondike Cones at Walmart ,WALMART,Frozen Desserts,
Spend $110 at Albertsons,ALBERTSONS,Candy,Gum
"Bubbies Pickles, Sauerkraut, OR Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,Prepared Meals,
"Sara Lee® or Alfaros® Artesano bread, buy 2",,Bakery,
"Sara Lee® or Alfaros® Artesano bread, buy 2",,Bread,
"Beyond Meat® Plant-Based products, spend $20",,Plant-Based Meat,
"Beyond Meat® Plant-Based products, spend $20",,Packaged Meat,
"Beyond Meat® Plant-Based products, spend $20",,Frozen Plant-Based Meat,
Spend $10 on Casey's branded packaged products,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
Spend $10 on Casey's branded packaged products,CASEYS GENERAL STORE,Cooking & Baking,
Any Randalls receipt,RANDALLS FOOD MARKETS,,
Any Randalls receipt,RANDALLS,,
"Arber, at Target",TARGET,,
"Häagen-Dazs®, 28 ounce, at GROCERY* stores",,Frozen Desserts,
Spend $130 at ACME,ACME,Medicines & Treatments,
"Spend $110 on a Full-Priced new Plus Membership and receive an ADDITIONAL 10,000 points",SAMS CLUB,,
"Butterball, select varieties, spend $10 at QFC",QFC,Frozen Turkey,
"Butterball, select varieties, spend $10 at QFC",QFC,Nut Butters & Jam,
Spend $100 at Pavilions,PAVILIONS,Cooking & Baking,
"Glad® Trash Bags, 4 OR 8 Gallon",,Crackers,
"Glad® Trash Bags, 4 OR 8 Gallon",,Prepared Meals,
"Glad® Trash Bags, 4 OR 8 Gallon",,Food Storage,
"Glad® Trash Bags, 4 OR 8 Gallon",,Household Supplies,Laundry Supplies
"Glad® Trash Bags, 4 OR 8 Gallon",,Household Supplies,Household Cleaning Supplies
"Glad® Trash Bags, 4 OR 8 Gallon",,Household Supplies,Food Storage
"Glad® Trash Bags, 4 OR 8 Gallon",,Household Supplies,Household Supplies
"Glad® Trash Bags, 4 OR 8 Gallon",,Household Supplies,Pest Control
Tostitos® Toppers™,,Chips,
Tostitos® Toppers™,,Dips & Salsa,
Tostitos® Toppers™,,Sauces & Marinades,
:ratio™ KETO* Friendly Cereal OR Granola,,Nuts & Seeds,
:ratio™ KETO* Friendly Cereal OR Granola,,"Cereal, Granola, & Toaster Pastries",
:ratio™ KETO* Friendly Cereal OR Granola,,Yogurt,
"Burt's Bees® products, select varieties, at Walmart",WALMART,Skin Care,
"Burt's Bees® products, select varieties, at Walmart",WALMART,Makeup,
"Burt's Bees® products, select varieties, at Walmart",WALMART,Hair Removal,
"Bio-Oil® products, select varieties",,Cooking & Baking,
"Bio-Oil® products, select varieties",,Skin Care,
"André® California, Champagne OR Sparkling Wines, 750mL bottle",,Wine,
Spend $20 at Farmer Boys,FARMER BOYS,,
"Any General Mills™ products, spend $50",,,
Chosen Foods® Dressings,,Cooking & Baking,
Chosen Foods® Dressings,,Dips & Salsa,
Chosen Foods® Dressings,,Condiments,
Chosen Foods® Dressings,,Dressings,
Spend $30 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,,
Degree for Men OR Women Dry Spray,,Deodorant & Antiperspirant,
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3",,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3",,Malt Beverages,
Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,WALMART,Packaged Meals & Sides,
Spend $40 at KFC,KFC,,
"Bai® Antioxidant, 6 pack, at Walmart",WALMART,Tea,
"Bai® Antioxidant, 6 pack, at Walmart",WALMART,Drink Mixes,
"Bai® Antioxidant, 6 pack, at Walmart",WALMART,Water,
"Bai® Antioxidant, 6 pack, at Walmart",WALMART,Fruit Juices,
Spend $20 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,,
Spend $25 at TGI Friday's,TGI FRIDAYS,Spirits,Vodka
Spend $25 at TGI Friday's,TGI FRIDAYS,Spirits,Rum
Spend $25 at TGI Friday's,TGI FRIDAYS,Malt Beverages,
"L'Oréal Paris Hair color, select varieties, spend $9 at Target",TARGET,Hair Care,
"Sargento Sliced Cheese, spend $18",,Cheese,
"SKITTLES®, select sizes",,Candy,Gum
"SKITTLES®, select sizes",,Fruit Juices,
"LIFESAVERS®, any size, buy 1",,Candy,Gum
"L'Oréal Paris Makeup, spend $30 at Target",TARGET,Makeup,
Spend $115 at Tom Thumb,TOM THUMB,,
Any Randalls receipt,RANDALLS FOOD MARKETS,,
Any Randalls receipt,RANDALLS,,
Spend $75 at Randalls,RANDALLS,,
Shop 2 times at Randalls,RANDALLS FOOD MARKETS,,
Shop 2 times at Randalls,RANDALLS,,
"GATORADE® Fast Twitch®, 12-ounce single serve",,Medicines & Treatments,
"GATORADE® Fast Twitch®, 12-ounce single serve",,Meal Replacement Beverages,
"GATORADE® Fast Twitch®, 12-ounce single serve",,Sports Drinks,
Spend $10 at Nekter,NEKTER JUICE BAR,,
"Brownie Brittle® Snacks, select varieties, buy 2",,Bakery,
"Brownie Brittle® Snacks, select varieties, buy 2",,Cookies,
Cheerios™ Oat Crunch Berry Cereal,,"Cereal, Granola, & Toaster Pastries",
Glad® ForceFlex Max Strength Trash Bags,,Crackers,
Glad® ForceFlex Max Strength Trash Bags,,Prepared Meals,
Glad® ForceFlex Max Strength Trash Bags,,Food Storage,
Glad® ForceFlex Max Strength Trash Bags,,Household Supplies,Laundry Supplies
Glad® ForceFlex Max Strength Trash Bags,,Household Supplies,Household Cleaning Supplies
Glad® ForceFlex Max Strength Trash Bags,,Household Supplies,Food Storage
Glad® ForceFlex Max Strength Trash Bags,,Household Supplies,Household Supplies
Glad® ForceFlex Max Strength Trash Bags,,Household Supplies,Pest Control
"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,Medicines & Treatments,
"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,Meal Replacement Beverages,
"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,Sports Drinks,
Spend $10 at CVS,CVS,Cooking & Baking,
Spend $10 at CVS,CVS,Medicines & Treatments,
Spend $10 at CVS,CVS,Skin Care,
Spend $10 at CVS,CVS,Fruit Juices,
"OxiClean™ Laundry Stain Removers, select varieties at Walmart",WALMART,,
Country Crock® Plant Based Cream at Walmart,WALMART,Nut Butters & Jam,
2 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks,
2 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,Cooking & Baking,
Arnold® Grains Almighty,,Bread,
Arnold® Grains Almighty,,Prepared Meals,
Arnold® Grains Almighty,,Bakery,
"Snuggle® Liquid Fabric Softener, at Walmart",WALMART,Household Supplies,Laundry Supplies
"Snuggle® Liquid Fabric Softener, at Walmart",WALMART,Household Supplies,Household Cleaning Supplies
"Snuggle® Liquid Fabric Softener, at Walmart",WALMART,Household Supplies,Food Storage
"Snuggle® Liquid Fabric Softener, at Walmart",WALMART,Household Supplies,Household Supplies
"Snuggle® Liquid Fabric Softener, at Walmart",WALMART,Household Supplies,Pest Control
"Hidden Valley® Ranch Night Seasoning Mix, 1 count",,Cooking & Baking,
"Hidden Valley® Ranch Night Seasoning Mix, 1 count",,Dips & Salsa,
"Hidden Valley® Ranch Night Seasoning Mix, 1 count",,Sauces & Marinades,
"Kradle, select varieties, at Pet Supplies Plus",PET SUPPLIES PLUS,Cooking & Baking,
"Kradle, select varieties, at Pet Supplies Plus",PET SUPPLIES PLUS,Dog Supplies,
"Back to the Roots Soils, select varieties and sizes, at Lowes",LOWES HOME IMPROVEMENT,Packaged Meals & Sides,
"Butterball, select varieties, spend $10 at Mariano's",MARIANOS,Frozen Turkey,
"Butterball, select varieties, spend $10 at Mariano's",MARIANOS,Nut Butters & Jam,
"CORE® Hydration, select varieties, buy 2 at Walmart",WALMART,Water,
Spend $40 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,,
"General Mills™ snacks, select brands, spend $10",,Chips,
"Back to the Roots Soils, select varieties, at Walmart or Lowes",LOWES HOME IMPROVEMENT,Packaged Meals & Sides,
"Barilla® pasta, select varieties, buy 4",,Pesto Sauce,
"Barilla® pasta, select varieties, buy 4",,Chips,
"Barilla® pasta, select varieties, buy 4",,Red Pasta Sauce,
"Barilla® pasta, select varieties, buy 4",,Dry Pasta,
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",,Medicines & Treatments,
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",,Meal Replacement Beverages,
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",,Sports Drinks,
"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,Skin Care,
